Category,Number of Records,Order Date,Sales Target,Segment
Office Supplies,1,27-04-2016,1214,Consumer
Office Supplies,1,27-04-2016,397,Corporate
Office Supplies,1,27-04-2016,9,Home Office
Technology,1,27-04-2016,718,Consumer
Technology,1,27-04-2016,146,Corporate
Office Supplies,1,28-04-2016,367,Consumer
Office Supplies,1,28-04-2016,68,Corporate
Office Supplies,1,28-04-2016,199,Home Office
Technology,1,28-04-2016,80,Consumer
Technology,1,28-04-2016,241,Home Office
Office Supplies,1,29-04-2016,341,Consumer
Technology,1,29-04-2016,426,Consumer
Furniture,1,01-05-2016,1131,Consumer
Office Supplies,1,01-05-2016,142,Consumer
Office Supplies,1,01-05-2016,102,Home Office
Furniture,1,02-05-2016,49,Consumer
Office Supplies,1,02-05-2016,378,Consumer
Office Supplies,1,02-05-2016,15,Corporate
Office Supplies,1,02-05-2016,99,Home Office
Furniture,1,04-05-2016,362,Corporate
Technology,1,05-05-2016,206,Home Office
Office Supplies,1,09-05-2016,423,Corporate
Technology,1,09-05-2016,179,Consumer
Furniture,1,10-05-2016,901,Consumer
Office Supplies,1,10-05-2016,156,Consumer
Office Supplies,1,10-05-2016,10,Home Office
Furniture,1,12-05-2016,643,Consumer
Furniture,1,12-05-2016,297,Corporate
Office Supplies,1,12-05-2016,378,Consumer
Office Supplies,1,12-05-2016,1168,Corporate
Furniture,1,13-05-2016,261,Consumer
Office Supplies,1,13-05-2016,510,Consumer
Technology,1,13-05-2016,442,Consumer
Office Supplies,1,14-05-2016,72,Consumer
Office Supplies,1,15-05-2016,147,Consumer
Office Supplies,1,15-05-2016,1129,Corporate
Technology,1,15-05-2016,180,Consumer
Technology,1,15-05-2016,448,Corporate
Furniture,1,16-05-2016,69,Consumer
Office Supplies,1,16-05-2016,548,Consumer
Office Supplies,1,16-05-2016,474,Corporate
Technology,1,16-05-2016,421,Consumer
Furniture,1,17-05-2016,2442,Consumer
Office Supplies,1,17-05-2016,165,Home Office
Furniture,1,18-05-2016,1116,Consumer
Office Supplies,1,18-05-2016,2983,Consumer
Office Supplies,1,18-05-2016,99,Corporate
Technology,1,18-05-2016,609,Consumer
Furniture,1,19-05-2016,706,Consumer
Office Supplies,1,19-05-2016,546,Consumer
Office Supplies,1,19-05-2016,60,Corporate
Furniture,1,22-05-2016,304,Consumer
Furniture,1,22-05-2016,94,Home Office
Office Supplies,1,22-05-2016,608,Consumer
Office Supplies,1,22-05-2016,74,Corporate
Technology,1,22-05-2016,816,Consumer
Furniture,1,23-05-2016,720,Corporate
Office Supplies,1,23-05-2016,89,Corporate
Office Supplies,1,23-05-2016,85,Home Office
Technology,1,23-05-2016,440,Corporate
Furniture,1,24-05-2016,179,Consumer
Office Supplies,1,24-05-2016,551,Consumer
Technology,1,24-05-2016,456,Consumer
Furniture,1,25-05-2016,231,Corporate
Office Supplies,1,25-05-2016,90,Consumer
Office Supplies,1,25-05-2016,207,Corporate
Technology,1,25-05-2016,712,Corporate
Technology,1,25-05-2016,455,Home Office
Office Supplies,1,26-05-2016,504,Consumer
Technology,1,26-05-2016,601,Consumer
Office Supplies,1,27-05-2016,324,Corporate
Technology,1,29-05-2016,1559,Consumer
Office Supplies,1,30-05-2016,87,Consumer
Technology,1,30-05-2016,5982,Consumer
Office Supplies,1,31-05-2016,25,Consumer
Furniture,1,01-06-2016,284,Corporate
Furniture,1,01-06-2016,533,Home Office
Office Supplies,1,01-06-2016,135,Consumer
Office Supplies,1,01-06-2016,303,Corporate
Technology,1,01-06-2016,828,Consumer
Technology,1,01-06-2016,1875,Corporate
Furniture,1,02-06-2016,1950,Consumer
Office Supplies,1,02-06-2016,412,Consumer
Office Supplies,1,02-06-2016,231,Corporate
Technology,1,02-06-2016,620,Corporate
Furniture,1,03-06-2016,144,Corporate
Office Supplies,1,03-06-2016,597,Consumer
Office Supplies,1,03-06-2016,112,Corporate
Technology,1,03-06-2016,1017,Consumer
Furniture,1,04-06-2016,49,Consumer
Office Supplies,1,04-06-2016,125,Consumer
Furniture,1,05-06-2016,278,Consumer
Office Supplies,1,05-06-2016,140,Consumer
Office Supplies,1,05-06-2016,202,Corporate
Office Supplies,1,06-06-2016,35,Corporate
Technology,1,06-06-2016,1759,Corporate
Furniture,1,07-06-2016,1071,Consumer
Furniture,1,07-06-2016,37,Corporate
Office Supplies,1,07-06-2016,225,Consumer
Office Supplies,1,07-06-2016,104,Corporate
Technology,1,07-06-2016,123,Home Office
Furniture,1,08-06-2016,413,Consumer
Office Supplies,1,08-06-2016,112,Home Office
Technology,1,08-06-2016,266,Consumer
Technology,1,08-06-2016,516,Corporate
Furniture,1,09-06-2016,201,Consumer
Office Supplies,1,09-06-2016,1165,Consumer
Office Supplies,1,09-06-2016,124,Corporate
Technology,1,09-06-2016,2046,Consumer
Furniture,1,10-06-2016,138,Consumer
Office Supplies,1,10-06-2016,154,Consumer
Technology,1,10-06-2016,451,Consumer
Furniture,1,12-06-2016,518,Consumer
Office Supplies,1,12-06-2016,142,Consumer
Office Supplies,1,12-06-2016,476,Corporate
Office Supplies,1,12-06-2016,94,Home Office
Technology,1,12-06-2016,369,Consumer
Furniture,1,13-06-2016,93,Corporate
Office Supplies,1,13-06-2016,621,Consumer
Office Supplies,1,13-06-2016,194,Corporate
Technology,1,13-06-2016,336,Consumer
Office Supplies,1,14-06-2016,260,Corporate
Technology,1,14-06-2016,821,Corporate
Office Supplies,1,15-06-2016,33,Consumer
Office Supplies,1,15-06-2016,580,Home Office
Technology,1,15-06-2016,1415,Home Office
Furniture,1,16-06-2016,27,Consumer
Furniture,1,16-06-2016,850,Corporate
Office Supplies,1,16-06-2016,274,Consumer
Office Supplies,1,16-06-2016,340,Corporate
Office Supplies,1,16-06-2016,52,Home Office
Technology,1,16-06-2016,64,Consumer
Technology,1,16-06-2016,1186,Corporate
Technology,1,16-06-2016,82,Home Office
Furniture,1,17-06-2016,2572,Consumer
Office Supplies,1,17-06-2016,320,Consumer
Office Supplies,1,17-06-2016,31,Corporate
Furniture,1,19-06-2016,3131,Consumer
Furniture,1,19-06-2016,46,Home Office
Office Supplies,1,19-06-2016,332,Consumer
Office Supplies,1,19-06-2016,96,Home Office
Technology,1,19-06-2016,1451,Consumer
Technology,1,19-06-2016,1616,Home Office
Furniture,1,20-06-2016,2362,Consumer
Furniture,1,20-06-2016,316,Corporate
Office Supplies,1,20-06-2016,3235,Consumer
Office Supplies,1,20-06-2016,938,Corporate
Technology,1,20-06-2016,2686,Consumer
Furniture,1,21-06-2016,315,Consumer
Furniture,1,21-06-2016,2352,Corporate
Furniture,1,21-06-2016,409,Home Office
Office Supplies,1,21-06-2016,480,Consumer
Office Supplies,1,21-06-2016,13,Corporate
Office Supplies,1,21-06-2016,26,Home Office
Technology,1,21-06-2016,1027,Consumer
Technology,1,21-06-2016,1530,Corporate
Furniture,1,22-06-2016,549,Consumer
Office Supplies,1,22-06-2016,64,Consumer
Office Supplies,1,22-06-2016,354,Corporate
Office Supplies,1,22-06-2016,183,Home Office
Technology,1,22-06-2016,107,Consumer
Furniture,1,23-06-2016,429,Home Office
Office Supplies,1,23-06-2016,308,Consumer
Technology,1,23-06-2016,1153,Home Office
Furniture,1,24-06-2016,1677,Consumer
Office Supplies,1,24-06-2016,367,Consumer
Furniture,1,26-06-2016,486,Consumer
Furniture,1,26-06-2016,377,Home Office
Office Supplies,1,26-06-2016,34,Consumer
Office Supplies,1,26-06-2016,358,Corporate
Office Supplies,1,26-06-2016,892,Home Office
Technology,1,26-06-2016,2246,Consumer
Furniture,1,27-06-2016,678,Corporate
Office Supplies,1,27-06-2016,60,Consumer
Technology,1,27-06-2016,125,Consumer
Technology,1,27-06-2016,1497,Corporate
Office Supplies,1,28-06-2016,86,Corporate
Office Supplies,1,28-06-2016,313,Home Office
Technology,1,28-06-2016,142,Corporate
Technology,1,28-06-2016,706,Home Office
Furniture,1,29-06-2016,889,Home Office
Office Supplies,1,29-06-2016,204,Consumer
Office Supplies,1,29-06-2016,77,Corporate
Office Supplies,1,29-06-2016,270,Home Office
Technology,1,29-06-2016,213,Consumer
Furniture,1,30-06-2016,848,Consumer
Furniture,1,30-06-2016,270,Corporate
Office Supplies,1,30-06-2016,327,Consumer
Office Supplies,1,30-06-2016,144,Corporate
Office Supplies,1,30-06-2016,521,Home Office
Technology,1,30-06-2016,1664,Consumer
Technology,1,30-06-2016,454,Corporate
Furniture,1,01-07-2016,570,Home Office
Office Supplies,1,01-07-2016,364,Consumer
Furniture,1,02-07-2016,1828,Corporate
Office Supplies,1,02-07-2016,150,Corporate
Technology,1,02-07-2016,585,Corporate
Office Supplies,1,03-07-2016,287,Consumer
Office Supplies,1,03-07-2016,426,Home Office
Furniture,1,04-07-2016,816,Consumer
Office Supplies,1,04-07-2016,30,Corporate
Technology,1,04-07-2016,2335,Corporate
Office Supplies,1,05-07-2016,1970,Consumer
Office Supplies,1,05-07-2016,74,Corporate
Office Supplies,1,05-07-2016,121,Home Office
Office Supplies,1,06-07-2016,262,Consumer
Technology,1,06-07-2016,519,Consumer
Furniture,1,07-07-2016,741,Corporate
Furniture,1,07-07-2016,933,Home Office
Office Supplies,1,07-07-2016,2472,Corporate
Office Supplies,1,07-07-2016,77,Home Office
Office Supplies,1,11-07-2016,55,Home Office
Furniture,1,12-07-2016,1842,Consumer
Office Supplies,1,12-07-2016,1371,Consumer
Office Supplies,1,12-07-2016,68,Corporate
Technology,1,12-07-2016,236,Corporate
Furniture,1,13-07-2016,1063,Home Office
Office Supplies,1,13-07-2016,90,Consumer
Office Supplies,1,13-07-2016,51,Home Office
Office Supplies,1,14-07-2016,287,Consumer
Office Supplies,1,14-07-2016,268,Corporate
Office Supplies,1,14-07-2016,699,Home Office
Technology,1,14-07-2016,1793,Consumer
Technology,1,14-07-2016,1598,Corporate
Furniture,1,15-07-2016,448,Corporate
Office Supplies,1,15-07-2016,967,Corporate
Furniture,1,17-07-2016,472,Consumer
Office Supplies,1,17-07-2016,91,Consumer
Technology,1,17-07-2016,178,Consumer
Technology,1,17-07-2016,854,Corporate
Furniture,1,18-07-2016,269,Consumer
Furniture,1,18-07-2016,509,Corporate
Office Supplies,1,18-07-2016,97,Consumer
Office Supplies,1,18-07-2016,309,Corporate
Technology,1,18-07-2016,2331,Corporate
Office Supplies,1,19-07-2016,99,Consumer
Technology,1,19-07-2016,1181,Consumer
Office Supplies,1,20-07-2016,344,Consumer
Furniture,1,21-07-2016,133,Consumer
Furniture,1,21-07-2016,46,Corporate
Office Supplies,1,21-07-2016,76,Consumer
Office Supplies,1,21-07-2016,988,Corporate
Technology,1,21-07-2016,1204,Consumer
Office Supplies,1,24-07-2016,1784,Consumer
Technology,1,24-07-2016,3973,Consumer
Office Supplies,1,25-07-2016,1226,Consumer
Office Supplies,1,25-07-2016,376,Corporate
Office Supplies,1,26-07-2016,385,Consumer
Office Supplies,1,26-07-2016,471,Corporate
Technology,1,26-07-2016,209,Corporate
Furniture,1,27-07-2016,56,Consumer
Office Supplies,1,28-07-2016,536,Consumer
Office Supplies,1,29-07-2016,47,Consumer
Office Supplies,1,29-07-2016,43,Home Office
Technology,1,29-07-2016,426,Consumer
Furniture,1,31-07-2016,279,Consumer
Furniture,1,31-07-2016,1541,Corporate
Office Supplies,1,31-07-2016,867,Consumer
Office Supplies,1,31-07-2016,625,Corporate
Technology,1,31-07-2016,424,Consumer
Furniture,1,02-08-2016,385,Consumer
Office Supplies,1,02-08-2016,1414,Consumer
Office Supplies,1,02-08-2016,3701,Corporate
Technology,1,02-08-2016,1967,Consumer
Technology,1,02-08-2016,390,Corporate
Furniture,1,03-08-2016,78,Consumer
Furniture,1,03-08-2016,168,Home Office
Office Supplies,1,03-08-2016,196,Corporate
Office Supplies,1,03-08-2016,589,Home Office
Technology,1,03-08-2016,1638,Home Office
Furniture,1,04-08-2016,1392,Consumer
Furniture,1,04-08-2016,119,Corporate
Furniture,1,04-08-2016,444,Home Office
Office Supplies,1,04-08-2016,1448,Consumer
Office Supplies,1,04-08-2016,157,Corporate
Office Supplies,1,04-08-2016,1733,Home Office
Technology,1,04-08-2016,2798,Consumer
Technology,1,04-08-2016,975,Corporate
Technology,1,04-08-2016,288,Home Office
Furniture,1,05-08-2016,137,Corporate
Office Supplies,1,05-08-2016,58,Consumer
Office Supplies,1,05-08-2016,978,Corporate
Office Supplies,1,05-08-2016,53,Home Office
Furniture,1,06-08-2016,1259,Home Office
Office Supplies,1,06-08-2016,620,Home Office
Furniture,1,07-08-2016,122,Consumer
Office Supplies,1,07-08-2016,494,Consumer
Office Supplies,1,07-08-2016,236,Corporate
Office Supplies,1,07-08-2016,11,Home Office
Technology,1,07-08-2016,490,Consumer
Technology,1,07-08-2016,696,Corporate
Technology,1,07-08-2016,964,Home Office
Furniture,1,08-08-2016,501,Consumer
Furniture,1,08-08-2016,815,Corporate
Office Supplies,1,08-08-2016,305,Consumer
Office Supplies,1,08-08-2016,100,Corporate
Office Supplies,1,09-08-2016,277,Consumer
Office Supplies,1,09-08-2016,230,Corporate
Technology,1,09-08-2016,495,Corporate
Furniture,1,10-08-2016,684,Corporate
Office Supplies,1,10-08-2016,234,Consumer
Office Supplies,1,10-08-2016,249,Corporate
Office Supplies,1,10-08-2016,404,Home Office
Technology,1,10-08-2016,1005,Consumer
Technology,1,10-08-2016,970,Home Office
Office Supplies,1,11-08-2016,610,Consumer
Office Supplies,1,11-08-2016,525,Corporate
Technology,1,11-08-2016,2517,Corporate
Office Supplies,1,12-08-2016,36,Consumer
Office Supplies,1,13-08-2016,55,Consumer
Furniture,1,14-08-2016,803,Consumer
Office Supplies,1,14-08-2016,1303,Consumer
Office Supplies,1,14-08-2016,65,Home Office
Technology,1,14-08-2016,306,Consumer
Furniture,1,15-08-2016,91,Consumer
Office Supplies,1,15-08-2016,2306,Consumer
Office Supplies,1,15-08-2016,319,Home Office
Technology,1,15-08-2016,1973,Consumer
Technology,1,15-08-2016,1172,Home Office
Furniture,1,16-08-2016,1143,Consumer
Furniture,1,16-08-2016,236,Home Office
Office Supplies,1,16-08-2016,724,Consumer
Office Supplies,1,16-08-2016,6,Home Office
Technology,1,16-08-2016,531,Home Office
Furniture,1,17-08-2016,147,Consumer
Office Supplies,1,17-08-2016,448,Consumer
Office Supplies,1,17-08-2016,222,Corporate
Office Supplies,1,17-08-2016,126,Home Office
Furniture,1,18-08-2016,1173,Consumer
Furniture,1,18-08-2016,203,Home Office
Office Supplies,1,18-08-2016,186,Home Office
Furniture,1,19-08-2016,189,Consumer
Office Supplies,1,19-08-2016,474,Corporate
Office Supplies,1,19-08-2016,53,Home Office
Technology,1,19-08-2016,1403,Home Office
Furniture,1,21-08-2016,3647,Consumer
Office Supplies,1,21-08-2016,63,Corporate
Technology,1,21-08-2016,687,Consumer
Furniture,1,22-08-2016,1077,Corporate
Office Supplies,1,22-08-2016,97,Consumer
Office Supplies,1,22-08-2016,196,Corporate
Technology,1,22-08-2016,242,Consumer
Technology,1,22-08-2016,157,Corporate
Furniture,1,23-08-2016,1084,Corporate
Office Supplies,1,23-08-2016,667,Corporate
Technology,1,23-08-2016,616,Corporate
Furniture,1,24-08-2016,1728,Consumer
Furniture,1,24-08-2016,354,Corporate
Office Supplies,1,24-08-2016,196,Consumer
Office Supplies,1,24-08-2016,316,Corporate
Office Supplies,1,24-08-2016,1239,Home Office
Technology,1,24-08-2016,236,Home Office
Furniture,1,25-08-2016,2905,Consumer
Furniture,1,25-08-2016,371,Corporate
Furniture,1,25-08-2016,90,Home Office
Office Supplies,1,25-08-2016,2012,Consumer
Office Supplies,1,25-08-2016,381,Corporate
Office Supplies,1,25-08-2016,387,Home Office
Technology,1,25-08-2016,3329,Consumer
Technology,1,25-08-2016,156,Home Office
Office Supplies,1,26-08-2016,737,Consumer
Furniture,1,28-08-2016,47,Consumer
Office Supplies,1,28-08-2016,49,Consumer
Office Supplies,1,28-08-2016,46,Corporate
Office Supplies,1,28-08-2016,145,Home Office
Technology,1,28-08-2016,450,Consumer
Office Supplies,1,29-08-2016,112,Consumer
Technology,1,29-08-2016,1185,Consumer
Furniture,1,30-08-2016,1559,Consumer
Office Supplies,1,30-08-2016,2640,Consumer
Office Supplies,1,30-08-2016,118,Corporate
Office Supplies,1,30-08-2016,1365,Home Office
Technology,1,30-08-2016,4808,Consumer
Technology,1,30-08-2016,121,Home Office
Furniture,1,31-08-2016,2655,Corporate
Office Supplies,1,31-08-2016,350,Consumer
Office Supplies,1,31-08-2016,255,Corporate
Office Supplies,1,31-08-2016,193,Home Office
Technology,1,31-08-2016,2008,Consumer
Office Supplies,1,01-09-2016,900,Consumer
Office Supplies,1,01-09-2016,57,Corporate
Office Supplies,1,01-09-2016,17,Home Office
Technology,1,01-09-2016,651,Consumer
Technology,1,01-09-2016,1720,Corporate
Technology,1,01-09-2016,1188,Home Office
Furniture,1,02-09-2016,116,Consumer
Furniture,1,02-09-2016,766,Home Office
Office Supplies,1,02-09-2016,612,Consumer
Office Supplies,1,02-09-2016,259,Home Office
Technology,1,02-09-2016,117,Consumer
Technology,1,02-09-2016,454,Home Office
Furniture,1,03-09-2016,241,Corporate
Office Supplies,1,03-09-2016,578,Consumer
Office Supplies,1,03-09-2016,42,Corporate
Technology,1,03-09-2016,82,Corporate
Office Supplies,1,04-09-2016,288,Consumer
Office Supplies,1,04-09-2016,125,Corporate
Office Supplies,1,04-09-2016,29,Home Office
Technology,1,04-09-2016,159,Corporate
Furniture,1,05-09-2016,188,Consumer
Furniture,1,05-09-2016,1035,Corporate
Office Supplies,1,05-09-2016,774,Consumer
Technology,1,05-09-2016,870,Consumer
Technology,1,05-09-2016,215,Corporate
Furniture,1,06-09-2016,237,Consumer
Furniture,1,06-09-2016,660,Corporate
Office Supplies,1,06-09-2016,335,Corporate
Office Supplies,1,06-09-2016,17,Home Office
Technology,1,06-09-2016,186,Consumer
Furniture,1,07-09-2016,439,Consumer
Office Supplies,1,07-09-2016,431,Consumer
Office Supplies,1,07-09-2016,17,Corporate
Technology,1,07-09-2016,225,Consumer
Furniture,1,08-09-2016,2675,Consumer
Office Supplies,1,08-09-2016,77,Consumer
Office Supplies,1,08-09-2016,277,Corporate
Office Supplies,1,08-09-2016,55,Home Office
Technology,1,08-09-2016,1554,Consumer
Technology,1,08-09-2016,157,Corporate
Technology,1,08-09-2016,691,Home Office
Furniture,1,09-09-2016,129,Consumer
Office Supplies,1,09-09-2016,213,Corporate
Furniture,1,10-09-2016,1225,Corporate
Office Supplies,1,10-09-2016,460,Corporate
Furniture,1,11-09-2016,432,Corporate
Furniture,1,11-09-2016,804,Home Office
Office Supplies,1,11-09-2016,154,Consumer
Office Supplies,1,11-09-2016,585,Corporate
Office Supplies,1,11-09-2016,1052,Home Office
Technology,1,11-09-2016,783,Consumer
Technology,1,11-09-2016,1318,Corporate
Furniture,1,12-09-2016,46,Home Office
Office Supplies,1,12-09-2016,372,Consumer
Office Supplies,1,12-09-2016,407,Home Office
Technology,1,12-09-2016,209,Corporate
Furniture,1,13-09-2016,463,Consumer
Furniture,1,13-09-2016,186,Corporate
Office Supplies,1,13-09-2016,703,Consumer
Office Supplies,1,13-09-2016,153,Corporate
Office Supplies,1,13-09-2016,111,Home Office
Technology,1,13-09-2016,1020,Corporate
Furniture,1,14-09-2016,242,Consumer
Furniture,1,14-09-2016,455,Corporate
Office Supplies,1,14-09-2016,23,Consumer
Office Supplies,1,14-09-2016,77,Corporate
Office Supplies,1,14-09-2016,41,Home Office
Technology,1,14-09-2016,276,Consumer
Furniture,1,15-09-2016,382,Corporate
Office Supplies,1,15-09-2016,373,Consumer
Technology,1,15-09-2016,95,Consumer
Technology,1,16-09-2016,320,Home Office
Office Supplies,1,17-09-2016,37,Corporate
Technology,1,17-09-2016,151,Corporate
Office Supplies,1,18-09-2016,1512,Consumer
Office Supplies,1,18-09-2016,298,Home Office
Technology,1,18-09-2016,1817,Consumer
Technology,1,18-09-2016,426,Home Office
Furniture,1,19-09-2016,2365,Corporate
Office Supplies,1,19-09-2016,416,Corporate
Technology,1,19-09-2016,1015,Corporate
Furniture,1,20-09-2016,44,Consumer
Office Supplies,1,20-09-2016,389,Consumer
Technology,1,20-09-2016,309,Consumer
Furniture,1,21-09-2016,4264,Consumer
Office Supplies,1,21-09-2016,2148,Consumer
Office Supplies,1,21-09-2016,209,Corporate
Technology,1,21-09-2016,4914,Consumer
Furniture,1,22-09-2016,133,Consumer
Office Supplies,1,22-09-2016,159,Consumer
Office Supplies,1,22-09-2016,17,Corporate
Office Supplies,1,22-09-2016,59,Home Office
Technology,1,22-09-2016,1270,Consumer
Furniture,1,23-09-2016,357,Corporate
Office Supplies,1,23-09-2016,610,Corporate
Technology,1,23-09-2016,299,Consumer
Technology,1,23-09-2016,834,Corporate
Furniture,1,25-09-2016,264,Consumer
Furniture,1,25-09-2016,202,Corporate
Office Supplies,1,25-09-2016,1918,Consumer
Office Supplies,1,25-09-2016,242,Corporate
Technology,1,25-09-2016,614,Consumer
Technology,1,25-09-2016,358,Corporate
Furniture,1,26-09-2016,190,Consumer
Office Supplies,1,26-09-2016,511,Consumer
Office Supplies,1,26-09-2016,66,Home Office
Technology,1,26-09-2016,442,Consumer
Technology,1,26-09-2016,243,Home Office
Furniture,1,27-09-2016,848,Consumer
Office Supplies,1,27-09-2016,188,Consumer
Furniture,1,28-09-2016,697,Home Office
Office Supplies,1,28-09-2016,755,Consumer
Office Supplies,1,28-09-2016,201,Corporate
Office Supplies,1,28-09-2016,251,Home Office
Technology,1,28-09-2016,779,Home Office
Furniture,1,29-09-2016,3346,Consumer
Office Supplies,1,29-09-2016,898,Consumer
Technology,1,29-09-2016,1130,Consumer
Technology,1,29-09-2016,464,Home Office
Office Supplies,1,30-09-2016,217,Consumer
Office Supplies,1,30-09-2016,688,Corporate
Technology,1,30-09-2016,2758,Consumer
Furniture,1,02-10-2016,153,Consumer
Furniture,1,02-10-2016,1853,Corporate
Office Supplies,1,02-10-2016,121,Consumer
Office Supplies,1,02-10-2016,345,Corporate
Technology,1,02-10-2016,1056,Consumer
Technology,1,02-10-2016,1076,Corporate
Technology,1,03-10-2016,87,Home Office
Furniture,1,04-10-2016,37,Corporate
Office Supplies,1,04-10-2016,70,Corporate
Furniture,1,05-10-2016,1665,Consumer
Office Supplies,1,05-10-2016,69,Consumer
Office Supplies,1,05-10-2016,201,Home Office
Technology,1,05-10-2016,501,Consumer
Furniture,1,06-10-2016,621,Corporate
Office Supplies,1,06-10-2016,427,Corporate
Technology,1,06-10-2016,184,Consumer
Technology,1,06-10-2016,73,Corporate
Furniture,1,07-10-2016,444,Consumer
Office Supplies,1,07-10-2016,401,Consumer
Office Supplies,1,09-10-2016,291,Consumer
Office Supplies,1,10-10-2016,54,Consumer
Office Supplies,1,11-10-2016,99,Consumer
Office Supplies,1,11-10-2016,181,Corporate
Technology,1,11-10-2016,648,Consumer
Technology,1,11-10-2016,361,Home Office
Office Supplies,1,12-10-2016,144,Corporate
Office Supplies,1,12-10-2016,320,Home Office
Technology,1,12-10-2016,924,Corporate
Technology,1,12-10-2016,76,Home Office
Office Supplies,1,13-10-2016,54,Home Office
Technology,1,14-10-2016,2188,Consumer
Furniture,1,16-10-2016,2603,Corporate
Office Supplies,1,16-10-2016,441,Consumer
Office Supplies,1,16-10-2016,51,Corporate
Furniture,1,17-10-2016,247,Consumer
Office Supplies,1,17-10-2016,13,Consumer
Technology,1,17-10-2016,311,Consumer
Furniture,1,18-10-2016,869,Consumer
Furniture,1,18-10-2016,312,Home Office
Office Supplies,1,18-10-2016,25,Consumer
Office Supplies,1,18-10-2016,578,Corporate
Office Supplies,1,18-10-2016,306,Home Office
Technology,1,18-10-2016,219,Home Office
Office Supplies,1,19-10-2016,111,Consumer
Office Supplies,1,19-10-2016,240,Home Office
Technology,1,19-10-2016,92,Consumer
Technology,1,19-10-2016,551,Home Office
Office Supplies,1,20-10-2016,100,Consumer
Office Supplies,1,20-10-2016,711,Home Office
Furniture,1,21-10-2016,673,Consumer
Office Supplies,1,21-10-2016,45,Consumer
Office Supplies,1,22-10-2016,139,Consumer
Furniture,1,23-10-2016,508,Corporate
Furniture,1,23-10-2016,763,Home Office
Office Supplies,1,23-10-2016,12,Consumer
Office Supplies,1,23-10-2016,131,Corporate
Furniture,1,24-10-2016,678,Corporate
Office Supplies,1,24-10-2016,97,Corporate
Furniture,1,25-10-2016,337,Corporate
Office Supplies,1,25-10-2016,848,Corporate
Technology,1,25-10-2016,236,Corporate
Office Supplies,1,26-10-2016,499,Home Office
Technology,1,26-10-2016,252,Home Office
Office Supplies,1,27-10-2016,236,Home Office
Technology,1,27-10-2016,314,Home Office
Furniture,1,28-10-2016,1254,Consumer
Office Supplies,1,28-10-2016,405,Consumer
Office Supplies,1,28-10-2016,292,Corporate
Furniture,1,30-10-2016,177,Consumer
Furniture,1,31-10-2016,870,Consumer
Furniture,1,31-10-2016,383,Corporate
Furniture,1,31-10-2016,47,Home Office
Office Supplies,1,31-10-2016,766,Consumer
Office Supplies,1,31-10-2016,301,Corporate
Office Supplies,1,31-10-2016,212,Home Office
Technology,1,31-10-2016,1540,Consumer
Technology,1,31-10-2016,1286,Corporate
Technology,1,31-10-2016,607,Home Office
Office Supplies,1,01-11-2016,243,Consumer
Office Supplies,1,01-11-2016,1086,Corporate
Office Supplies,1,02-11-2016,164,Consumer
Office Supplies,1,02-11-2016,344,Corporate
Office Supplies,1,02-11-2016,91,Home Office
Furniture,1,03-11-2016,2154,Consumer
Office Supplies,1,03-11-2016,509,Consumer
Office Supplies,1,03-11-2016,127,Corporate
Office Supplies,1,03-11-2016,110,Home Office
Technology,1,03-11-2016,749,Consumer
Office Supplies,1,04-11-2016,154,Consumer
Office Supplies,1,04-11-2016,41,Home Office
Technology,1,04-11-2016,631,Home Office
Furniture,1,06-11-2016,316,Consumer
Furniture,1,06-11-2016,160,Corporate
Furniture,1,06-11-2016,750,Home Office
Office Supplies,1,06-11-2016,44,Consumer
Office Supplies,1,06-11-2016,680,Corporate
Office Supplies,1,06-11-2016,66,Home Office
Technology,1,06-11-2016,993,Home Office
Office Supplies,1,07-11-2016,1935,Consumer
Office Supplies,1,07-11-2016,112,Corporate
Technology,1,07-11-2016,212,Consumer
Office Supplies,1,08-11-2016,121,Consumer
Office Supplies,1,08-11-2016,74,Corporate
Office Supplies,1,08-11-2016,127,Home Office
Technology,1,08-11-2016,340,Corporate
Office Supplies,1,09-11-2016,948,Consumer
Office Supplies,1,09-11-2016,723,Corporate
Technology,1,09-11-2016,530,Corporate
Furniture,1,10-11-2016,192,Consumer
Furniture,1,10-11-2016,189,Corporate
Office Supplies,1,10-11-2016,338,Consumer
Office Supplies,1,10-11-2016,175,Corporate
Technology,1,10-11-2016,1225,Corporate
Furniture,1,11-11-2016,379,Consumer
Furniture,1,11-11-2016,1882,Corporate
Office Supplies,1,11-11-2016,2147,Consumer
Office Supplies,1,11-11-2016,362,Corporate
Technology,1,11-11-2016,2441,Consumer
Technology,1,11-11-2016,315,Corporate
Furniture,1,13-11-2016,831,Consumer
Furniture,1,13-11-2016,880,Corporate
Furniture,1,13-11-2016,1047,Home Office
Office Supplies,1,13-11-2016,245,Consumer
Office Supplies,1,13-11-2016,99,Corporate
Office Supplies,1,13-11-2016,265,Home Office
Technology,1,13-11-2016,731,Consumer
Technology,1,13-11-2016,84,Home Office
Furniture,1,14-11-2016,370,Home Office
Office Supplies,1,14-11-2016,3166,Consumer
Office Supplies,1,14-11-2016,735,Corporate
Office Supplies,1,14-11-2016,23,Home Office
Technology,1,14-11-2016,333,Consumer
Furniture,1,15-11-2016,474,Home Office
Office Supplies,1,15-11-2016,24,Corporate
Office Supplies,1,15-11-2016,426,Home Office
Technology,1,15-11-2016,638,Home Office
Furniture,1,16-11-2016,56,Corporate
